,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
14,0.0002017498016357422,0.0004034996032714844,0.00019941329956054687,0.00039882659912109374,5,log2,"{'max_depth': 5, 'max_features': 'log2'}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.8666666666666667,0.9666666666666667,0.94,0.038873012632301994,18,0.975,1.0,0.9916666666666667,0.9916666666666667,0.975,0.9866666666666667,0.010000000000000016
15,0.0007977962493896484,0.0003988985628854453,0.0001994609832763672,0.0003989219665527344,6,auto,"{'max_depth': 6, 'max_features': 'auto'}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.8666666666666667,1.0,0.9466666666666667,0.04521553322083511,13,1.0,1.0,1.0,1.0,0.9916666666666667,0.9983333333333334,0.0033333333333333214
16,0.0,0.0,0.0005983352661132812,0.0004885387533284932,6,sqrt,"{'max_depth': 6, 'max_features': 'sqrt'}",0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.9533333333333334,0.02666666666666666,4,0.9916666666666667,1.0,1.0,1.0,1.0,0.9983333333333334,0.003333333333333322
17,0.0005983829498291016,0.0004885776558898482,0.00019936561584472657,0.00039873123168945315,6,log2,"{'max_depth': 6, 'max_features': 'log2'}",0.9666666666666667,0.9666666666666667,0.9,1.0,1.0,0.9666666666666667,0.036514837167011066,1,1.0,0.9916666666666667,0.9916666666666667,1.0,1.0,0.9966666666666667,0.004082482904638616
18,0.0005984783172607421,0.0004886555308230838,0.0003984928131103516,0.0004880520815548064,7,auto,"{'max_depth': 7, 'max_features': 'auto'}",0.9666666666666667,0.9666666666666667,0.9,0.9,1.0,0.9466666666666667,0.03999999999999999,13,0.9916666666666667,1.0,1.0,1.0,1.0,0.9983333333333334,0.003333333333333322
19,0.00039887428283691406,0.0004885192380524391,0.0003989219665527344,0.0004885776558898482,7,sqrt,"{'max_depth': 7, 'max_features': 'sqrt'}",0.9333333333333333,0.9666666666666667,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9266666666666666,0.03265986323710903,21,1.0,1.0,1.0,1.0,0.9833333333333333,0.9966666666666667,0.006666666666666687
20,0.000797891616821289,0.000398946018574579,0.00019974708557128905,0.0003994941711425781,7,log2,"{'max_depth': 7, 'max_features': 'log2'}",0.9666666666666667,0.9666666666666667,0.9,0.9333333333333333,1.0,0.9533333333333334,0.03399346342395189,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21,0.0003989696502685547,0.0004886360853561638,0.0,0.0,8,auto,"{'max_depth': 8, 'max_features': 'auto'}",0.9666666666666667,0.9666666666666667,0.9,0.9333333333333333,1.0,0.9533333333333334,0.03399346342395189,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22,0.0005983829498291016,0.0004885783539575257,0.0003991127014160156,0.0004888112574243273,8,sqrt,"{'max_depth': 8, 'max_features': 'sqrt'}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9,1.0,0.9533333333333334,0.03399346342395189,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23,0.00039925575256347654,0.0004889865806349794,0.00019936561584472657,0.00039873123168945315,8,log2,"{'max_depth': 8, 'max_features': 'log2'}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.96,0.013333333333333329,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
24,0.0005987644195556641,0.0004888893881490515,0.0003986358642578125,0.00048822760287261553,9,auto,"{'max_depth': 9, 'max_features': 'auto'}",0.9333333333333333,0.9666666666666667,0.9,0.9666666666666667,1.0,0.9533333333333334,0.03399346342395189,4,0.9833333333333333,1.0,1.0,1.0,1.0,0.9966666666666667,0.006666666666666687
25,0.0003990650177001953,0.0004887529791588312,0.00019936561584472657,0.0003987312316894531,9,sqrt,"{'max_depth': 9, 'max_features': 'sqrt'}",0.9666666666666667,0.9666666666666667,0.9,0.9333333333333333,1.0,0.9533333333333334,0.03399346342395189,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
26,0.0001994609832763672,0.00039892196655273444,0.0003989696502685547,0.000488636038823848,9,log2,"{'max_depth': 9, 'max_features': 'log2'}",0.9666666666666667,0.9666666666666667,0.8666666666666667,0.9666666666666667,1.0,0.9533333333333334,0.04521553322083511,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
