,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
15,0.12007942199707031,0.03690211127108948,0.007381057739257813,0.0013554327223863423,0.2,51,"{'learning_rate': 0.2, 'n_estimators': 51}",0.9666666666666667,0.9666666666666667,0.9,0.9,1.0,0.9466666666666667,0.03999999999999999,14,0.925,0.9166666666666666,0.975,0.9333333333333333,0.9083333333333333,0.9316666666666666,0.023213980461973528
16,0.14042286872863768,0.03196516157591129,0.013960742950439453,0.006761267114691051,0.2,61,"{'learning_rate': 0.2, 'n_estimators': 61}",0.9666666666666667,0.9666666666666667,0.9,0.9,1.0,0.9466666666666667,0.03999999999999999,14,0.925,0.925,0.975,0.9333333333333333,0.9083333333333333,0.9333333333333333,0.022360679774997883
17,0.18251166343688965,0.057793582418466244,0.022938632965087892,0.005712384397309818,0.2,71,"{'learning_rate': 0.2, 'n_estimators': 71}",0.9666666666666667,0.9333333333333333,0.9,0.9,1.0,0.94,0.038873012632301994,58,0.925,0.9166666666666666,0.975,0.9333333333333333,0.9083333333333333,0.9316666666666666,0.023213980461973528
18,0.2112337112426758,0.039614504399747445,0.03393988609313965,0.011742601861301195,0.2,81,"{'learning_rate': 0.2, 'n_estimators': 81}",0.9666666666666667,0.9333333333333333,0.9,0.9333333333333333,1.0,0.9466666666666667,0.03399346342395189,14,0.925,0.9166666666666666,0.975,0.95,0.9083333333333333,0.9349999999999999,0.02438123139721298
19,0.24351091384887696,0.06716762311622863,0.024746131896972657,0.013425489115178284,0.2,91,"{'learning_rate': 0.2, 'n_estimators': 91}",0.9666666666666667,0.9333333333333333,0.9,0.9333333333333333,1.0,0.9466666666666667,0.03399346342395189,14,0.925,0.9166666666666666,0.975,0.95,0.9083333333333333,0.9349999999999999,0.02438123139721298
20,0.0057847023010253905,0.008589315792047327,0.0005983352661132812,0.000488538892953226,0.30000000000000004,1,"{'learning_rate': 0.30000000000000004, 'n_estimators': 1}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,82,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
21,0.018151569366455077,0.005440503858235069,0.002792692184448242,0.0015958071707852775,0.30000000000000004,11,"{'learning_rate': 0.30000000000000004, 'n_estimators': 11}",0.9666666666666667,0.9333333333333333,0.9,0.9,1.0,0.94,0.038873012632301994,58,0.925,0.9166666666666666,0.975,0.9333333333333333,0.9083333333333333,0.9316666666666666,0.023213980461973528
22,0.03789887428283691,0.011749613775960049,0.0033905029296875,0.0004884609947696123,0.30000000000000004,21,"{'learning_rate': 0.30000000000000004, 'n_estimators': 21}",0.9666666666666667,0.9333333333333333,0.9,0.9,1.0,0.94,0.038873012632301994,58,0.925,0.9166666666666666,0.975,0.9333333333333333,0.9083333333333333,0.9316666666666666,0.023213980461973528
23,0.04747285842895508,0.0034313461778238724,0.005385780334472656,0.0007979155210141107,0.30000000000000004,31,"{'learning_rate': 0.30000000000000004, 'n_estimators': 31}",0.9666666666666667,0.9333333333333333,0.9,0.9,1.0,0.94,0.038873012632301994,58,0.925,0.9166666666666666,0.975,0.9333333333333333,0.9083333333333333,0.9316666666666666,0.023213980461973528
24,0.06622304916381835,0.0038683337903645003,0.007579660415649414,0.002720848061558699,0.30000000000000004,41,"{'learning_rate': 0.30000000000000004, 'n_estimators': 41}",0.9666666666666667,0.9333333333333333,0.9,0.9,1.0,0.94,0.038873012632301994,58,0.925,0.9166666666666666,0.975,0.9333333333333333,0.9083333333333333,0.9316666666666666,0.023213980461973528
25,0.09614324569702148,0.026375805297145536,0.01954793930053711,0.01433691785771873,0.30000000000000004,51,"{'learning_rate': 0.30000000000000004, 'n_estimators': 51}",0.9666666666666667,0.9666666666666667,0.9,0.9,1.0,0.9466666666666667,0.03999999999999999,14,0.925,0.9166666666666666,0.975,0.9333333333333333,0.9083333333333333,0.9316666666666666,0.023213980461973528
26,0.1517943859100342,0.03083232311112264,0.016956663131713866,0.010267328629566655,0.30000000000000004,61,"{'learning_rate': 0.30000000000000004, 'n_estimators': 61}",0.9666666666666667,0.9666666666666667,0.9,0.9,1.0,0.9466666666666667,0.03999999999999999,14,0.925,0.9166666666666666,0.975,0.9333333333333333,0.9083333333333333,0.9316666666666666,0.023213980461973528
27,0.18570342063903808,0.046358312374222777,0.024533987045288086,0.009944551793530144,0.30000000000000004,71,"{'learning_rate': 0.30000000000000004, 'n_estimators': 71}",0.9666666666666667,0.9666666666666667,0.9,0.9,1.0,0.9466666666666667,0.03999999999999999,14,0.925,0.9166666666666666,0.975,0.9333333333333333,0.9083333333333333,0.9316666666666666,0.023213980461973528
28,0.22556734085083008,0.04671336073669214,0.023886346817016603,0.013783613806775624,0.30000000000000004,81,"{'learning_rate': 0.30000000000000004, 'n_estimators': 81}",0.9666666666666667,0.9666666666666667,0.9,0.9333333333333333,1.0,0.9533333333333334,0.03399346342395189,1,0.925,0.925,0.975,0.95,0.9083333333333333,0.9366666666666668,0.023333333333333314
29,0.24444227218627929,0.05956416255526877,0.0345522403717041,0.01498471263493686,0.30000000000000004,91,"{'learning_rate': 0.30000000000000004, 'n_estimators': 91}",0.9666666666666667,0.9333333333333333,0.9,0.9333333333333333,1.0,0.9466666666666667,0.03399346342395189,14,0.925,0.9166666666666666,0.975,0.95,0.9083333333333333,0.9349999999999999,0.02438123139721298
30,0.0015960216522216796,0.0004887529326376445,0.0005983352661132812,0.0004885388464116528,0.4,1,"{'learning_rate': 0.4, 'n_estimators': 1}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,82,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
