,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1254,0.0005986690521240234,0.0004888116062914885,0.0,0.0,7,2.7,linear,"{'C': 7, 'gamma': 2.7, 'kernel': 'linear'}",1.0,1.0,0.9,0.9666666666666667,1.0,0.9733333333333334,0.038873012632301994,344,0.9666666666666667,0.9666666666666667,0.9916666666666667,0.9916666666666667,0.975,0.9783333333333333,0.011303883305208793
1255,0.0011967182159423827,0.00039894581909694896,0.0007977962493896484,0.00039889879088687884,7,2.7,rbf,"{'C': 7, 'gamma': 2.7, 'kernel': 'rbf'}",1.0,0.9666666666666667,0.9,0.9333333333333333,0.9666666666666667,0.9533333333333334,0.03399346342395189,1124,0.9916666666666667,0.9916666666666667,0.9916666666666667,1.0,0.9916666666666667,0.9933333333333334,0.0033333333333333214
1256,0.0005985736846923828,0.0004887334677845756,0.0001994609832763672,0.00039892196655273444,7,2.8000000000000003,linear,"{'C': 7, 'gamma': 2.8000000000000003, 'kernel': 'linear'}",1.0,1.0,0.9,0.9666666666666667,1.0,0.9733333333333334,0.038873012632301994,344,0.9666666666666667,0.9666666666666667,0.9916666666666667,0.9916666666666667,0.975,0.9783333333333333,0.011303883305208793
1257,0.0015956401824951173,0.0007977605449417813,0.0007977485656738281,0.0007462256400131741,7,2.8000000000000003,rbf,"{'C': 7, 'gamma': 2.8000000000000003, 'kernel': 'rbf'}",1.0,0.9666666666666667,0.9,0.9333333333333333,0.9666666666666667,0.9533333333333334,0.03399346342395189,1124,0.9916666666666667,0.9916666666666667,0.9916666666666667,1.0,0.9916666666666667,0.9933333333333334,0.0033333333333333214
1258,0.0005984306335449219,0.000488616573967537,0.0003987789154052734,0.0004884024838356029,7,2.9000000000000004,linear,"{'C': 7, 'gamma': 2.9000000000000004, 'kernel': 'linear'}",1.0,1.0,0.9,0.9666666666666667,1.0,0.9733333333333334,0.038873012632301994,344,0.9666666666666667,0.9666666666666667,0.9916666666666667,0.9916666666666667,0.975,0.9783333333333333,0.011303883305208793
1259,0.0011962890625,0.0003988028534744119,0.00039887428283691406,0.0004885192845958804,7,2.9000000000000004,rbf,"{'C': 7, 'gamma': 2.9000000000000004, 'kernel': 'rbf'}",1.0,0.9666666666666667,0.9,0.9333333333333333,0.9666666666666667,0.9533333333333334,0.03399346342395189,1124,0.9916666666666667,0.9916666666666667,0.9916666666666667,1.0,0.9916666666666667,0.9933333333333334,0.0033333333333333214
1260,0.0005989551544189453,0.0004890457423329806,0.00039882659912109374,0.0004884609249461174,7,3.0,linear,"{'C': 7, 'gamma': 3.0, 'kernel': 'linear'}",1.0,1.0,0.9,0.9666666666666667,1.0,0.9733333333333334,0.038873012632301994,344,0.9666666666666667,0.9666666666666667,0.9916666666666667,0.9916666666666667,0.975,0.9783333333333333,0.011303883305208793
1261,0.0015957355499267578,0.0004884223715429262,0.00039873123168945315,0.0004883440543553798,7,3.0,rbf,"{'C': 7, 'gamma': 3.0, 'kernel': 'rbf'}",1.0,0.9666666666666667,0.9,0.9333333333333333,0.9666666666666667,0.9533333333333334,0.03399346342395189,1124,0.9916666666666667,0.9916666666666667,0.9916666666666667,1.0,0.9916666666666667,0.9933333333333334,0.0033333333333333214
1262,0.0003989219665527344,0.0004885776558898482,0.0017949581146240235,0.0026310204784435855,7,3.1,linear,"{'C': 7, 'gamma': 3.1, 'kernel': 'linear'}",1.0,1.0,0.9,0.9666666666666667,1.0,0.9733333333333334,0.038873012632301994,344,0.9666666666666667,0.9666666666666667,0.9916666666666667,0.9916666666666667,0.975,0.9783333333333333,0.011303883305208793
1263,0.0021936893463134766,0.0019332951509473738,0.000399017333984375,0.0004886944333937081,7,3.1,rbf,"{'C': 7, 'gamma': 3.1, 'kernel': 'rbf'}",1.0,0.9666666666666667,0.9,0.9333333333333333,0.9666666666666667,0.9533333333333334,0.03399346342395189,1124,0.9916666666666667,1.0,0.9916666666666667,1.0,0.9916666666666667,0.9949999999999999,0.004082482904638616
