,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
166,0.1106492519378662,0.00068797359907122,0.0016592025756835937,0.0006375707137666931,sqrt,301,16,"{'max_features': 'sqrt', 'min_samples_leaf': 301, 'n_estimators': 16}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
167,0.1114776611328125,0.0007425441735843677,0.001207113265991211,0.0004069291542196459,sqrt,301,17,"{'max_features': 'sqrt', 'min_samples_leaf': 301, 'n_estimators': 17}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
168,0.11145472526550293,0.0009382102444236819,0.0018433570861816407,0.00018303775528722728,sqrt,301,18,"{'max_features': 'sqrt', 'min_samples_leaf': 301, 'n_estimators': 18}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
169,0.11256117820739746,0.002324036096104836,0.0017329692840576173,0.0007392890067043299,sqrt,301,19,"{'max_features': 'sqrt', 'min_samples_leaf': 301, 'n_estimators': 19}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
170,0.10846738815307617,0.001219801303292272,0.0014454841613769532,0.00039411862959189316,sqrt,351,10,"{'max_features': 'sqrt', 'min_samples_leaf': 351, 'n_estimators': 10}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
171,0.11051497459411622,0.0021784436150454143,0.0009937763214111328,0.0005153904830494002,sqrt,351,11,"{'max_features': 'sqrt', 'min_samples_leaf': 351, 'n_estimators': 11}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
172,0.10982542037963867,0.0013075466859077565,0.00107879638671875,0.0004828763567927429,sqrt,351,12,"{'max_features': 'sqrt', 'min_samples_leaf': 351, 'n_estimators': 12}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
173,0.10872550010681152,3.2701922002524124e-05,0.0017791271209716796,0.0004325203323294933,sqrt,351,13,"{'max_features': 'sqrt', 'min_samples_leaf': 351, 'n_estimators': 13}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
174,0.11078152656555176,0.002975871789461623,0.0019170284271240235,0.0006477986022602753,sqrt,351,14,"{'max_features': 'sqrt', 'min_samples_leaf': 351, 'n_estimators': 14}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
175,0.12247247695922851,0.009981016801957685,0.0029935836791992188,0.0006336953781747917,sqrt,351,15,"{'max_features': 'sqrt', 'min_samples_leaf': 351, 'n_estimators': 15}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
